source_state,target_state,indicator,lead_quarters,correlation,observations
AZ,IN,coincident,1,-0.5712859572638236,39
ME,IN,coincident,1,-0.5710417212847646,39
OK,OH,coincident,1,-0.5708162401443081,39
FL,MS,coincident,1,-0.5705359939905196,39
SD,AR,coincident,1,-0.5703813311452647,39
MN,NC,coincident,1,-0.5701352787177897,39
LA,WA,coincident,1,-0.5697937728400359,39
NY,MT,coincident,1,-0.5695958972816354,39
MA,NC,coincident,1,-0.5692208357953288,39
CO,NC,coincident,1,-0.5689176363827383,39
TN,AR,coincident,1,-0.5689048214174957,39
MN,WV,coincident,1,-0.56878344888141,39
ID,WV,coincident,1,-0.5687595074899748,39
TN,IN,coincident,1,-0.5686610618221317,39
MS,AL,coincident,1,-0.5685741905287002,39
VA,OH,coincident,1,-0.5685613204689796,39
NC,WI,coincident,1,-0.5684242304306185,39
NC,WV,coincident,1,-0.5684216332203922,39
ID,OH,coincident,1,-0.568282724196117,39
NH,WV,coincident,1,-0.5681510508459887,39
IA,WV,coincident,1,-0.5675698524720917,39
OR,TN,coincident,1,-0.567539447992266,39
PA,WV,coincident,1,-0.5672823463808402,39
CO,TN,coincident,1,-0.5667767882065587,39
SD,NC,coincident,1,-0.5665709038156683,39
RI,WV,coincident,1,-0.566488195877706,39
CA,KY,coincident,1,-0.5662969002380527,39
GA,TN,coincident,1,-0.5661261144893108,39
GA,MO,coincident,1,-0.5660923372717441,39
NH,IN,coincident,1,-0.5658418346545072,39
OK,ID,coincident,1,-0.5656859194068098,39
GA,NC,coincident,1,-0.5656770153718065,39
NC,TN,coincident,1,-0.5654778019010929,39
MD,CA,coincident,1,-0.5654236517694421,39
CO,OH,coincident,1,-0.5652319579324006,39
MD,ME,coincident,1,-0.5651519386510481,39
GA,WV,coincident,1,-0.5650323738800579,39
NJ,NC,coincident,1,-0.5648207866258408,39
RI,WA,coincident,1,-0.5647085112673911,39
WI,VT,coincident,1,-0.5646569821752266,39
TN,WV,coincident,1,-0.5639558169476487,39
ND,WA,coincident,1,-0.563933360753386,39
PA,TN,coincident,1,-0.5637950105540095,39
AZ,WV,coincident,1,-0.5637058660626147,39
ME,SC,coincident,1,-0.5634626378993118,39
TX,KY,coincident,1,-0.5634595095396142,39
IL,MI,coincident,1,-0.563322105673869,39
RI,AR,coincident,1,-0.5631826985630517,39
GA,WI,coincident,1,-0.5630467442488762,39
RI,OH,coincident,1,-0.5627125047474334,39
WI,WI,coincident,1,-0.5626402922316797,39
MO,NC,coincident,1,-0.562519875210833,39
NC,PA,coincident,1,-0.5625168922800537,39
NH,ID,coincident,1,-0.5623833170035679,39
SC,KY,coincident,1,-0.5623574298600151,39
ND,WI,coincident,1,-0.562320207630888,39
MO,ID,coincident,1,-0.5621863234966997,39
ND,TN,coincident,1,-0.5621615563859043,39
KS,VT,coincident,1,-0.5621286135297218,39
MT,RI,coincident,1,-0.562095503152944,39
MT,MT,coincident,1,-0.561916679173023,39
OH,WA,coincident,1,-0.5618267253754804,39
NH,AR,coincident,1,-0.5616956154443107,39
MD,VT,coincident,1,-0.5616511869781492,39
TX,ID,coincident,1,-0.5614574608283674,39
OK,NC,coincident,1,-0.5610268795468942,39
MA,VT,coincident,1,-0.5610104627225279,39
OH,SC,coincident,1,-0.5609009255446851,39
MS,KY,coincident,1,-0.5607805280186087,39
OK,TN,coincident,1,-0.5605854815248383,39
CA,WA,coincident,1,-0.5605096976317887,39
PA,NC,coincident,1,-0.560240901229494,39
WI,TN,coincident,1,-0.5600130432765092,39
WI,PA,coincident,1,-0.5599721191758095,39
MO,OH,coincident,1,-0.5595048578735774,39
MI,WA,coincident,1,-0.5595009347480524,39
SC,AR,coincident,1,-0.5592881789030845,39
SC,MS,coincident,1,-0.559249396523684,39
MI,MI,coincident,1,-0.559196486128533,39
SD,PA,coincident,1,-0.5590718278564212,39
OH,KY,coincident,1,-0.558697874073645,39
TX,OH,coincident,1,-0.5586357848216114,39
MT,NJ,coincident,1,-0.5583051623816975,39
IL,AL,coincident,1,-0.5581486756977672,39
NM,AR,coincident,1,-0.5581381073568311,39
AZ,ID,coincident,1,-0.5579301415569721,39
GA,PA,coincident,1,-0.5578298343356756,39
AR,NJ,coincident,1,-0.5576407744583122,39
KS,TN,coincident,1,-0.5572470427278807,39
ME,NC,coincident,1,-0.5572067134700638,39
OR,VT,coincident,1,-0.5571781682573752,39
MS,AR,coincident,1,-0.5570898491539589,39
TX,SC,coincident,1,-0.5569097686298331,39
AZ,OH,coincident,1,-0.556740526638287,39
SD,VT,coincident,1,-0.55627292048746,39
MS,WA,coincident,1,-0.5561464019980106,39
TN,OH,coincident,1,-0.5560452700846904,39
VA,WV,coincident,1,-0.5560317093396513,39
IN,MI,coincident,1,-0.5559829984759527,39
VA,NC,coincident,1,-0.5559490863475139,39
KS,PA,coincident,1,-0.5559170043254793,39
AR,CA,coincident,1,-0.5558526894074544,39
DE,MI,coincident,1,-0.5558407456142448,39
UT,SC,coincident,1,-0.5556174423215521,39
ND,NC,coincident,1,-0.5555425562510833,39
UT,WV,coincident,1,-0.5552237353865557,39
NY,AZ,coincident,1,-0.5549204972805393,39
TN,ID,coincident,1,-0.55476717791036,39
IN,AL,coincident,1,-0.5546133773656717,39
NY,CA,coincident,1,-0.5543047817640481,39
CA,SC,coincident,1,-0.554187357692441,39
FL,IN,coincident,1,-0.5536082227796559,39
MS,MS,coincident,1,-0.5536054987209158,39
UT,KY,coincident,1,-0.5534281661500197,39
FL,WA,coincident,1,-0.5534147887519217,39
IA,TN,coincident,1,-0.5533338448922942,39
